IdSiniestro,Longitud,Latitud,IdComuna,TipoVia,NombreVia
20170029,-58.48501341,-34.64742455,9,Via Local,MOZART
20170030,-58.47010988,-34.65872088,9,Via Principal,MOZART
20170031,-58.40997560,-34.62873635,3,Via Local,24 DE NOVIEMBRE
20170032,-58.48892175,-34.68359163,8,Autopista,"PAZ, GRAL. AV."
20170033,-58.52466448,-34.60325478,11,Autopista,"PAZ, GRAL. AV."
20170034,-58.42554218,-34.57929036,14,Via Local,GODOY CRUZ
20170035,-58.35881506,-34.61113641,1,Via Principal,"ACHAVAL RODRIGUEZ, T., DR. AV."
20170036,-58.51452347,-34.58159762,12,Autopista,"PAZ, GRAL. AV."
20170037,-58.38896772,-34.61799615,1,Via Principal,INDEPENDENCIA AV.
20170038,-58.44516857,-34.64363363,7,Via Principal,CASTA?ARES AV.
20170040,-58.43834197,-34.54560369,13,Via Principal,"GUIRALDES, INT."
20170041,-58.45485084,-34.63531854,7,Via Local,"FERNANDEZ MORENO, BALDOMERO"
20170042,.,.,14,Autopista,"LUGONES, LEOPOLDO AV."
20170045,-58.52449285,-34.62454175,10,Via Local,NOGOYA
20170047,-58.46713742,-34.67198790,8,Via Principal,ARGENTINA AV.
20170049,-58.43850413,-34.65554754,8,Via Principal,"FERNANDEZ DE LA CRUZ, F., GRAL. AV."
20170050,.,.,9,Autopista,AUTOPISTA PERITO MORENO
20170051,.,.,7,Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.
20170052,-58.49413799,-34.68095739,8,Autopista,"PAZ, GRAL. AV."
20170053,-58.37547846,-34.65326075,4,Via Local,VIEYTES
20170054,-58.48680218,-34.58689719,15,Via Principal,DE LOS CONSTITUYENTES AV.
20170055,-58.49563989,-34.57962262,12,Via Principal,DE LOS CONSTITUYENTES AV.
20170058,-58.38403232,-34.59915940,1,Via Principal,CORDOBA AV.
20170059,-58.38223382,-34.62693865,1,Via Local,BRASIL
20170060,-58.45966521,-34.67323292,8,Via Principal,ESCALADA AV.
20170061,-58.39303911,-34.59871111,2,Via Principal,PARAGUAY
20170062,-58.51262106,-34.63395999,10,Via Principal,"JUSTO, JUAN B. AV."
20170063,-58.38118367,-34.61646839,1,Via Principal,CHILE
20170064,-58.37653284,-34.60582475,1,Via Local,MAIPU
20170065,-58.37709334,-34.64035082,4,Via Principal,SUAREZ AV.
20170066,-58.46002142,-34.60409469,15,Via Principal,SAN MARTIN AV.
20170067,-58.43381970,-34.62801894,6,Via Principal,DIRECTORIO AV.
20170068,-58.43580656,-34.66437532,8,Via Principal,"RABANAL, FRANCISCO, INTENDENTE AV."
20170069,-58.52173071,-34.65997463,9,Autopista,"PAZ, GRAL. AV."
20170070,-58.50791763,-34.59804273,11,Via Local,NUEVA YORK
20170072,-58.49175088,-34.58226957,12,Via Principal,DE LOS CONSTITUYENTES AV.
20170073,-58.40781467,-34.60425669,3,Via Principal,CORRIENTES AV.
20170074,-58.52567073,-34.63787791,9,Via Local,CASCO
20170075,-58.38154200,-34.60906385,1,Via Principal,DE MAYO AV.
20170076,-58.38526125,-34.57805810,2,Via Principal,"CASTILLO, RAMON S., PRES. AV."
20170077,-58.42934104,-34.58451712,14,Via Local,FRAY JUSTO SANTAMARIA DE ORO
20170079,-58.40657493,-34.61781124,3,Via Local,MEXICO
20170080,-58.49525314,-34.64487785,9,Via Principal,"ALBERDI, JUAN BAUTISTA AV."
20170082,-58.39092851,-34.62932696,4,Via Principal,ENTRE RIOS AV.
20170083,-58.49603546,-34.64564271,9,Via Principal,"ALBERDI, JUAN BAUTISTA AV."
20170084,-58.38502878,-34.58703485,2,Via Principal,DEL LIBERTADOR AV.
20170085,-58.37261143,-34.63150425,4,Via Principal,TACUARI
20170086,-58.51876802,-34.63905965,9,Via Principal,RIVADAVIA AV.
20170087,-58.41095567,-34.61516101,3,Via Local,24 DE NOVIEMBRE
20170088,-58.36797542,-34.62519403,1,Via Principal,PASEO COLON AV.
20170089,-58.51514709,-34.64787051,9,Via Local,"LEGUIZAMON, MARTINIANO"
20170090,-58.51925642,-34.59171721,11,Autopista,CHIVILCOY AV.
20170091,-58.48671535,-34.54321216,12,Autopista,SUPERI
20170092,-58.38268809,-34.62282019,1,Autopista,AUTOPISTA 25 DE MAYO
20170093,-58.43633522,-34.54966288,13,Autopista,"LUGONES, LEOPOLDO AV."
20170094,-58.52640838,-34.61765855,10,Via Local,"HUGO, VICTOR"
20170095,-58.41894306,-34.59778875,14,Via Principal,CORDOBA AV.
20170096,-58.46756026,-34.54972741,13,Via Principal,CABILDO AV.
