IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20170047,3,Masculino,Fallecida,Adulto 30 a 39
20170049,1,Masculino,Fallecida,Adulto Joven
20170050,3,Masculino,Fallecida,Adulto 40 a 49
20170050,4,Masculino,Fallecida,Adolescente
20170051,3,Masculino,Fallecida,Adulto 30 a 39
20170052,1,Femenino,Fallecida,Adulto 40 a 49
20170053,3,Masculino,Fallecida,Adulto Joven
20170054,4,Femenino,Fallecida,Adulto Joven
20170055,3,Masculino,Fallecida,Adulto 30 a 39
20170058,1,Masculino,Fallecida,Adulto Mayor
20170059,1,Femenino,Fallecida,Adulto 30 a 39
20170060,4,Masculino,Fallecida,Adulto 30 a 39
20170061,1,Masculino,Fallecida,Adulto 40 a 49
20170062,3,Masculino,Fallecida,Adulto 30 a 39
20170063,1,Femenino,Fallecida,Adulto Mayor
20170064,4,Masculino,Fallecida,Adulto Mayor
20170065,2,Masculino,Fallecida,Adulto Joven
20170066,1,Masculino,Fallecida,Adolescente
20170067,3,Masculino,Fallecida,Adulto Joven
20170068,3,Masculino,Fallecida,Adulto 30 a 39
20170069,3,Masculino,Fallecida,Adulto 30 a 39
20170070,1,Masculino,Fallecida,Adulto Mayor
20170072,3,Masculino,Fallecida,Adulto Joven
20170073,3,Masculino,Fallecida,Adulto Joven
20170074,,Masculino,Fallecida,Adulto Mayor
20170075,1,Masculino,Fallecida,Adulto 50 a 59
20170076,1,Femenino,Fallecida,Adulto 30 a 39
20170077,3,Femenino,Fallecida,Adulto Mayor
20170079,3,Masculino,Fallecida,Adulto 30 a 39
20170080,1,Femenino,Fallecida,Adulto Mayor
20170082,1,Masculino,Fallecida,Adulto 30 a 39
20170083,3,Masculino,Fallecida,Adulto 30 a 39
20170084,1,Femenino,Fallecida,Adulto Mayor
20170085,1,Masculino,Fallecida,Adulto Mayor
20170086,1,Femenino,Fallecida,Adulto 30 a 39
20170087,1,Femenino,Fallecida,Adulto Mayor
20170088,1,Masculino,Fallecida,Adulto 40 a 49
20170089,,Masculino,Fallecida,Adulto Joven
20170090,1,Masculino,Fallecida,Adulto Joven
20170091,3,Masculino,Fallecida,Adulto 50 a 59
20170092,1,Masculino,Fallecida,Adulto Mayor
20170093,1,Masculino,Fallecida,
20170094,2,Femenino,Fallecida,Adulto 50 a 59
20170095,3,Masculino,Fallecida,Adulto 30 a 39
20170096,1,Masculino,Fallecida,Adulto Mayor
20170098,1,Femenino,Fallecida,Adulto Mayor
20170099,2,Masculino,Fallecida,Adulto Joven
20170100,4,Femenino,Fallecida,Adolescente
20170101,1,Femenino,Fallecida,Adulto Mayor
20170102,1,Masculino,Fallecida,Adulto 40 a 49
20170104,1,Femenino,Fallecida,Adulto Joven
20170106,1,Femenino,Fallecida,Adulto Mayor
20170107,3,Masculino,Fallecida,Adulto 40 a 49
20170108,4,Masculino,Fallecida,Adolescente
20170108,4,Masculino,Fallecida,Adolescente
20170109,3,Masculino,Fallecida,Adulto Joven
20170110,1,Masculino,Fallecida,Adulto 50 a 59
20170111,1,Femenino,Fallecida,Adulto Mayor
20170112,4,Masculino,Fallecida,Infante
20170112,4,Masculino,Fallecida,
20170113,1,Femenino,Fallecida,Adulto Mayor
20170114,3,Masculino,Fallecida,Adulto Joven
20170115,3,Masculino,Fallecida,Adulto 30 a 39
20170116,3,Masculino,Fallecida,Adulto Joven
20170118,4,Femenino,Fallecida,Adulto Joven
20170120,3,Masculino,Fallecida,Adulto Joven
20170123,1,Femenino,Fallecida,Adulto 30 a 39
20170124,3,Masculino,Fallecida,Adulto 50 a 59
20170125,3,Masculino,Fallecida,Adulto Joven
20170126,4,Masculino,Fallecida,Adulto 30 a 39
20170126,3,Masculino,Fallecida,Adulto 30 a 39
20170127,4,Masculino,Fallecida,Adulto Joven
20170128,1,Femenino,Fallecida,Adulto Mayor
20170129,3,Masculino,Fallecida,Adulto 50 a 59
20170130,3,Masculino,Fallecida,Adulto Joven
20170132,3,Masculino,Fallecida,Adulto Joven
20170134,1,Femenino,Fallecida,Adulto 40 a 49
20170135,3,Masculino,Fallecida,Adulto Joven
